age,income,savings,expenses,debt
39.96714153011233,51878.36753971861,12782.624466627467,23408.516104224003,12535.101360676785
33.61735698828815,43558.91688312121,21768.20872139398,24247.12438840651,9713.02317462982
41.47688538100692,51834.46254548425,14533.199154127346,46398.49676628741,3022.7574762246404
50.23029856408026,58149.470435545816,17283.44889673947,30005.46255165986,6460.445296629623
32.658466252766644,50732.901054885566,36734.52090298537,36257.04001225167,8686.26626156748
32.6586304305082,50608.87536805824,33404.61051790348,23672.804946659577,2020.530157129433
50.79212815507391,39470.12468289867,7004.187630724024,23761.17643022689,6304.856709883836
42.67434729152909,40056.48623673578,28297.324178791743,38655.87847399954,13261.651690883398
30.305256140650478,28960.920923004596,28113.96554491592,19203.390307587742,17136.52682144608
40.42560043585965,76243.65114780409,8517.367112473818,26678.289856757827,7902.8262367072475
30.365823071875376,31342.051469130725,28187.776437548608,30272.219288577857,13782.441771580492
30.34270246429743,39606.42203306139,35379.31918412553,30890.98081472042,429.69964706266364
37.41962271566034,39223.89101646204,8774.551937555862,28567.25371987075,13297.256205568057
15.86719755342202,63423.86565416662,10824.971789857364,33166.55824876738,5980.257926362595
17.750821674869673,45575.75482561958,30176.614668435024,35542.846046542494,11536.72808353985
29.377124707590273,68716.131090106,22714.95310825648,35877.10036367464,8761.237908801453
24.87168879665576,39897.640636341974,25514.762752395232,22113.569530657387,16602.07004891917
38.142473325952736,54184.91243335703,23405.892164004967,27726.759216569622,5627.821758300409
25.91975924478789,37469.794201103636,23906.959209281442,39558.1028950155,13138.031487809156
20.876962986647086,82177.23691660083,6735.27871688917,37157.17750059098,8602.462683517333
49.65648768921554,32186.02371455731,30473.177066214485,19017.12438815149,9208.472609951681
32.74223699513465,54647.31065340541,31695.899924277735,32811.83920281762,9080.73053420395
35.67528204687924,59506.65321398148,17706.092559319724,14174.198005001517,5771.634477529436
20.752518137865433,56206.986461772474,19565.230501861377,30375.479216482956,9929.505170466642
29.556172754748175,47220.68511683438,4688.924974442778,45182.13613396782,9686.758889390892
36.10922589709866,48052.689503998605,25142.547560178347,22416.85826184811,11206.201242033647
23.490064225776973,50657.17207968664,25720.57441714144,23325.415636067344,10422.525728464312
38.75698018345672,47794.96997557267,19378.08983000689,36112.23825258287,13989.972748061182
28.99361310081195,64458.18675192365,31243.533598705028,17657.587878322833,14617.543080236843
32.083062502067236,83157.84502387026,16659.227690200594,24937.959760919686,4746.883390860994
28.98293387770603,41637.623224882496,25646.059258936002,34771.52910065402,14343.862502953856
53.522781845089376,29452.955306313834,9803.356613078844,24925.713218484776,4068.317864450728
34.86502775262066,48675.76927473118,19764.478491257618,28112.240102312226,12939.279440688675
24.422890710440996,88695.64006481477,18256.45742097164,35953.48568252027,13098.693923514344
43.225449121031886,37944.88148045404,22253.079220409418,33372.36866829249,443.4155416874801
22.791563500289776,74586.75208166102,16304.730711666414,32134.547170363214,10464.896232647048
37.08863595004755,75165.51221114662,18685.274043283323,27287.02176583969,7657.519433198421
15.403298761202244,41696.176374380084,28260.471714415064,32960.48892215164,6206.173710323125
21.718139511015693,58534.74618777913,15632.357627617825,29010.138559201947,16754.26165349503
36.96861235869123,74425.94934692807,3934.228992613207,33662.44487940628,6731.604296812906
42.38466579995411,44313.08388518769,37495.839042054205,26024.543799056173,5968.115354409751
36.7136828118997,46946.29459846457,33814.540786904865,28539.44820496367,10378.474700025467
33.843517176117594,41274.786290770346,7077.373048943813,22080.33765958389,13427.948731492083
31.988963044107113,34778.649039607,26897.078052451943,29719.93911995011,9291.757069949366
20.214780096325725,40260.83682400989,14970.252294486569,23511.99309096924,15831.85272834626
27.801557916052914,31640.895998566153,22634.872153310596,21087.62839870405,12654.878309820453
30.393612290402125,50511.25202388839,22942.241290134938,32069.289182843106,-891.056598657151
45.57122226218915,38450.40153412038,17655.92199683678,31701.918206861283,7352.665182464958
38.43618289568462,53506.788676861215,12162.343344136036,36262.98987958858,7190.789503241505
17.36959844637266,26661.56530694559,13094.589476837406,26550.995443399206,12396.804767147112
38.24083969394795,54963.20348321686,10838.080845187575,33264.422774694045,-3124.085281870559
